Id,Designator,Footprint,Quantity,Designation,Reference
1,"C1,C3,C2,C4",C_0805_2012Metric,4,220p,GCM2165C1H221JA16D
2,"D2,D5",LED_D3.0mm,2,LED,WP710A10ED
3,J3,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,BP_Inv_Out,eg. Thonk
4,J4,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,BP_Out,
5,"P1,P3,P4",Potentiometer_AlpsAlpine_RK09L1140_wo_Fix,3,B100K,eg. Thonk
6,P2,Potentiometer_AlpsAlpine_RK09L1140,1,B100K,
7,"R3,R1,R2,R4",R_0805_2012Metric,4,470R,RC0805FR-07470RL
8,J2,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,CLK In,
9,J1,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,UP_Out,
10,"SW1,SW2",SW_PUSH_6mm,2,Button,TL1105SPF100Q (cap: 1RBLK)
11,A1,Arduino_Nano,1,Arduino_Nano_v3.x,eg. AliExpress (sockets: 90147-1115)
12,C5,C_0805_2012Metric,1,6.8n,GRM2195C1H682JA01J
13,C6,C_0805_2012Metric,1,10n,GCM216R71H103JA37D
14,"C7,C9,C10,C12,C13",C_0805_2012Metric,5,100n,GCM21BR71H104JA37L
15,"C8,C11",CP_EIA-3216-18_Kemet-A,2,10u,C1206C106J3RACAUTO
16,D1,SOT-23_Handsoldering,1,"BAV99,215","BAV99,215"
17,"D3,D4",D_SOD-123,2,1N5819,1N5819HW-7-F
18,J5,Power_2x5_Vertical,1,Power,90131-1085
19,R5,R_0805_2012Metric,1,13k,RC0805FR-0713KL
20,R6,R_0805_2012Metric,1,27k,RC0805FR-0727KL
21,"R7,R10,R16,R21",R_0805_2012Metric,4,1k,RC0805FR-071KL
22,"R8,R22",R_0805_2012Metric,2,300R,RC0805FR-07300RL
23,"R9,R13,R15,R17,R18,R19,R20,R11",R_0805_2012Metric,8,10k,RC0805FR-0710KL
24,R12,R_0805_2012Metric,1,100k,RC0805FR-07100KL
25,R14,R_0805_2012Metric,1,20k,RC0805FR-0720KL
26,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,TL072CDR
